Index,Palavra,Tema
1,Amor,Emoções
2,Casa,Lar
3,Liberdade,Valores
4,Música,Arte
5,Trabalho,Emprego
6,Saúde,Bem-estar
7,Comida,Gastronomia
8,Esporte,Lazer
9,Amizade,Relacionamentos
10,Natureza,Meio ambiente
11,Viagem,Turismo
12,Ciência,Tecnologia
13,Religião,Espiritualidade
14,Família,Relacionamentos
15,Dinheiro,Economia
16,Moda,Estilo
17,Cultura,Arte
18,Animais,Natureza
19,Política,Governo
20,Cinema,Entretenimento
21,Literatura,Cultura
22,Internet,Tecnologia
23,Escola,Educação
24,Fé,Religião
25,História,Cultura
26,Felicidade,Emoções
27,Clima,Meio ambiente
28,Educação,Cultura
29,Praia,Lazer
30,Saúde mental,Bem-estar
31,Beleza,Estilo
32,Tecnologia,Inovação
33,Tradição,Cultura
34,Arte,Cultura
35,Arquitetura,Construção
36,Idiomas,Cultura
37,Carro,Transporte
38,Esportes,Lazer
39,Fotografia,Arte
40,Tempo,Meteorologia
41,Relacionamento,Amor
42,Paixão,Emoções
43,Ócio,Lazer
44,Empatia,Valores
45,Carreira,Emprego
46,Cidadania,Valores
47,Solidariedade,Valores
48,Modo de vida,Hábitos
49,Segurança,Público
50,Planeta,Meio ambiente
51,Turismo,Lazer
52,Sexualidade,Relacionamentos
53,Fé,Esperança
54,Amizade,Companheirismo
55,Comunicação,Tecnologia
56,Desenvolvimento,Tecnologia
57,Educação ambiental,Meio ambiente
58,Agricultura,Meio ambiente
59,Diversidade,Cultura
60,Economia,Sociedade
61,Ecologia,Meio ambiente
62,Sustentabilidade,Meio ambiente
63,Direitos humanos,Valores
64,Justiça,Valores
65,Inovação,Tecnologia
66,Conhecimento,Cultura
67,Atitude,Valores
68,Consciência,Valores
69,Perdão,Valores
70,Respeito,Valores
71,Tolerância,Valores
72,Política,Sociedade
73,Ação social,Solidariedade
74,Voluntariado,Solidariedade
75,Esperança,Emoções
76,Saúde pública,Bem-estar
77,Responsabilidade social,Valores
78,Comunidade,Sociedade
79,Esportividade,Lazer
80,Empreendedorismo,Economia
81,Futuro,Tempo